optimizer,scope,rank,replay,contrast,n_patients,mean_delta,ci_low,ci_high,wilcoxon_p,tost_margin,tost_p,equivalent_at_margin
adam,encoder_lora,1,raw,16KiB_vs_8KiB,12,0.0149,0.0042,0.0265,0.2036,0.05,0.0001,True
adam,encoder_lora,1,raw,32KiB_vs_8KiB,12,0.007,-0.0117,0.0305,0.4238,0.05,0.0016,True
adam,encoder_lora,1,raw,64KiB_vs_8KiB,12,0.0018,-0.0173,0.0255,0.3804,0.05,0.0008,True
adam,encoder_lora,2,raw,16KiB_vs_8KiB,12,-0.0132,-0.034,0.0022,0.1641,0.05,0.0019,True
adam,encoder_lora,2,raw,32KiB_vs_8KiB,12,-0.0267,-0.0473,-0.007,0.0269,0.05,0.0271,True
adam,encoder_lora,2,raw,64KiB_vs_8KiB,12,-0.0391,-0.0727,-0.0114,0.0034,0.05,0.2616,False
adam,head,0,postpool,16KiB_vs_8KiB,12,0.0058,-0.0083,0.0274,0.5771,0.05,0.0006,True
adam,head,0,postpool,32KiB_vs_8KiB,12,0.0039,-0.0213,0.0303,0.8984,0.05,0.003,True
adam,head,0,postpool,64KiB_vs_8KiB,12,0.0033,-0.0371,0.043,0.8311,0.05,0.0253,True
adam,head,0,raw,16KiB_vs_8KiB,12,0.0004,-0.0282,0.0342,0.5186,0.05,0.0065,True
adam,head,0,raw,32KiB_vs_8KiB,12,-0.0044,-0.0347,0.0286,0.6772,0.05,0.0106,True
adam,head,0,raw,64KiB_vs_8KiB,12,0.0097,-0.0387,0.0645,0.7764,0.05,0.0873,False
adam,postpool_adapter,1,postpool,16KiB_vs_8KiB,12,0.0162,-0.002,0.0394,0.2402,0.05,0.0054,True
adam,postpool_adapter,1,postpool,32KiB_vs_8KiB,12,0.0302,-0.0043,0.0793,0.5195,0.05,0.206,False
adam,postpool_adapter,1,postpool,64KiB_vs_8KiB,12,0.0172,-0.0253,0.0644,0.8311,0.05,0.1009,False
adam,postpool_adapter,2,postpool,16KiB_vs_8KiB,12,-0.0006,-0.0207,0.0179,1.0,0.05,0.0003,True
adam,postpool_adapter,2,postpool,32KiB_vs_8KiB,12,0.007,-0.0235,0.0362,0.5195,0.05,0.0103,True
adam,postpool_adapter,2,postpool,64KiB_vs_8KiB,12,0.006,-0.0247,0.0369,1.0,0.05,0.0102,True
