comparison,delta,power,holm_alpha
A4_vs_A1,0.0,0.1429,0.0125
A4_vs_A1,0.005,0.6925,0.0125
A4_vs_A1,0.01,0.879,0.0125
A4_vs_A1,0.015,0.9747,0.0125
A4_vs_A1,0.02,0.9998,0.0125
A4_vs_A1,0.025,1.0,0.0125
A4_vs_A1,0.03,1.0,0.0125
A4_vs_A1,0.035,1.0,0.0125
A4_vs_A1,0.04,1.0,0.0125
A4_vs_A1,0.045,1.0,0.0125
A4_vs_A1,0.05,1.0,0.0125
A4_vs_A1,0.055,1.0,0.0125
A4_vs_A1,0.06,1.0,0.0125
A4_vs_A1,0.065,1.0,0.0125
A4_vs_A1,0.07,1.0,0.0125
A4_vs_A1,0.075,1.0,0.0125
A4_vs_A1,0.08,1.0,0.0125
A4_vs_A1,0.085,1.0,0.0125
A4_vs_A1,0.09,1.0,0.0125
A4_vs_A1,0.095,1.0,0.0125
A4_vs_A1,0.1,1.0,0.0125
A4_vs_A1,0.105,1.0,0.0125
A4_vs_A1,0.11,1.0,0.0125
A4_vs_A1,0.115,1.0,0.0125
A4_vs_A1,0.12,1.0,0.0125
A4_vs_A1,0.125,1.0,0.0125
A4_vs_A1,0.13,1.0,0.0125
A4_vs_A1,0.135,1.0,0.0125
A4_vs_A1,0.14,1.0,0.0125
A4_vs_A1,0.145,1.0,0.0125
A4_vs_A1,0.15,1.0,0.0125
A4_vs_A1,0.155,1.0,0.0125
A4_vs_A1,0.16,1.0,0.0125
A4_vs_A1,0.165,1.0,0.0125
A4_vs_A1,0.17,1.0,0.0125
A4_vs_A1,0.175,1.0,0.0125
A4_vs_A1,0.18,1.0,0.0125
A4_vs_A1,0.185,1.0,0.0125
A4_vs_A1,0.19,1.0,0.0125
A4_vs_A1,0.195,1.0,0.0125
A4_vs_A1,0.2,1.0,0.0125
A5_vs_A1,0.0,0.165,0.025
A5_vs_A1,0.005,0.6963,0.025
A5_vs_A1,0.01,0.8518,0.025
A5_vs_A1,0.015,0.888,0.025
A5_vs_A1,0.02,0.9578,0.025
A5_vs_A1,0.025,0.9531,0.025
A5_vs_A1,0.03,0.9597,0.025
A5_vs_A1,0.035,0.9564,0.025
A5_vs_A1,0.04,0.984,0.025
A5_vs_A1,0.045,0.9911,0.025
A5_vs_A1,0.05,0.9942,0.025
A5_vs_A1,0.055,0.9943,0.025
A5_vs_A1,0.06,1.0,0.025
A5_vs_A1,0.065,1.0,0.025
A5_vs_A1,0.07,1.0,0.025
A5_vs_A1,0.075,1.0,0.025
A5_vs_A1,0.08,1.0,0.025
A5_vs_A1,0.085,1.0,0.025
A5_vs_A1,0.09,1.0,0.025
A5_vs_A1,0.095,1.0,0.025
A5_vs_A1,0.1,1.0,0.025
A5_vs_A1,0.105,1.0,0.025
A5_vs_A1,0.11,1.0,0.025
A5_vs_A1,0.115,1.0,0.025
A5_vs_A1,0.12,1.0,0.025
A5_vs_A1,0.125,1.0,0.025
A5_vs_A1,0.13,1.0,0.025
A5_vs_A1,0.135,1.0,0.025
A5_vs_A1,0.14,1.0,0.025
A5_vs_A1,0.145,1.0,0.025
A5_vs_A1,0.15,1.0,0.025
A5_vs_A1,0.155,1.0,0.025
A5_vs_A1,0.16,1.0,0.025
A5_vs_A1,0.165,1.0,0.025
A5_vs_A1,0.17,1.0,0.025
A5_vs_A1,0.175,1.0,0.025
A5_vs_A1,0.18,1.0,0.025
A5_vs_A1,0.185,1.0,0.025
A5_vs_A1,0.19,1.0,0.025
A5_vs_A1,0.195,1.0,0.025
A5_vs_A1,0.2,1.0,0.025
A4_vs_A2,0.0,0.1164,0.05
A4_vs_A2,0.005,0.6519,0.05
A4_vs_A2,0.01,0.6676,0.05
A4_vs_A2,0.015,0.6988,0.05
A4_vs_A2,0.02,0.7426,0.05
A4_vs_A2,0.025,0.853,0.05
A4_vs_A2,0.03,0.8924,0.05
A4_vs_A2,0.035,0.9328,0.05
A4_vs_A2,0.04,0.956,0.05
A4_vs_A2,0.045,0.9727,0.05
A4_vs_A2,0.05,0.9754,0.05
A4_vs_A2,0.055,0.9757,0.05
A4_vs_A2,0.06,0.9757,0.05
A4_vs_A2,0.065,0.9792,0.05
A4_vs_A2,0.07,0.9834,0.05
A4_vs_A2,0.075,0.9818,0.05
A4_vs_A2,0.08,0.982,0.05
A4_vs_A2,0.085,0.9826,0.05
A4_vs_A2,0.09,0.9871,0.05
A4_vs_A2,0.095,0.9894,0.05
A4_vs_A2,0.1,0.9903,0.05
A4_vs_A2,0.105,0.9925,0.05
A4_vs_A2,0.11,0.9985,0.05
A4_vs_A2,0.115,0.9996,0.05
A4_vs_A2,0.12,1.0,0.05
A4_vs_A2,0.125,1.0,0.05
A4_vs_A2,0.13,1.0,0.05
A4_vs_A2,0.135,1.0,0.05
A4_vs_A2,0.14,1.0,0.05
A4_vs_A2,0.145,1.0,0.05
A4_vs_A2,0.15,1.0,0.05
A4_vs_A2,0.155,1.0,0.05
A4_vs_A2,0.16,1.0,0.05
A4_vs_A2,0.165,1.0,0.05
A4_vs_A2,0.17,1.0,0.05
A4_vs_A2,0.175,1.0,0.05
A4_vs_A2,0.18,1.0,0.05
A4_vs_A2,0.185,1.0,0.05
A4_vs_A2,0.19,1.0,0.05
A4_vs_A2,0.195,1.0,0.05
A4_vs_A2,0.2,1.0,0.05
A4_vs_A3,0.0,0.1219,0.01667
A4_vs_A3,0.005,0.5522,0.01667
A4_vs_A3,0.01,0.7928,0.01667
