arm,record,macro_f1_present
A0,100,0.82702
A0,103,0.499684
A0,105,0.658704
A0,111,0.473182
A0,113,0.642081
A0,117,0.206313
A0,121,0.666544
A0,123,0.999506
A0,200,0.7504
A0,210,0.595096
A0,212,0.998662
A0,213,0.367682
A0,214,0.892595
A0,219,0.426719
A0,221,0.999074
A0,222,0.692089
A0,228,0.625368
A0,231,0.997654
A0,232,0.187375
A0,233,0.761214
A0,234,0.72661
A1,100,0.965303
A1,103,0.499271
A1,105,0.653684
A1,111,0.530066
A1,113,0.836755
A1,117,0.998879
A1,121,0.666396
A1,123,0.999506
A1,200,0.746956
A1,210,0.659174
A1,212,0.998304
A1,213,0.545993
A1,214,0.969292
A1,219,0.650892
A1,221,0.996749
A1,222,0.67526
A1,228,0.661143
A1,231,1.0
A1,232,0.947767
A1,233,0.745569
A1,234,0.754397
A2,100,0.969696
A2,103,0.49924
A2,105,0.658734
A2,111,0.548448
A2,113,0.802885
A2,117,0.995536
A2,121,0.799828
A2,123,0.999506
A2,200,0.761991
A2,210,0.645091
A2,212,0.998036
A2,213,0.548256
A2,214,0.976127
A2,219,0.635408
A2,221,0.996655
A2,222,0.672391
A2,228,0.66082
A2,231,1.0
A2,232,0.964366
A2,233,0.691964
A2,234,0.766305
A3,100,0.972387
A3,103,0.499335
A3,105,0.654298
A3,111,0.54796
A3,113,0.788109
A3,117,0.696972
A3,121,0.833137
A3,123,0.999506
A3,200,0.75895
A3,210,0.672957
A3,212,0.997632
A3,213,0.556741
A3,214,0.967273
A3,219,0.635631
A3,221,0.996013
A3,222,0.655652
A3,228,0.662576
A3,231,1.0
A3,232,0.957692
A3,233,0.709022
A3,234,0.710443
A4,100,0.969276
A4,103,0.49962
A4,105,0.690403
A4,111,0.633486
A4,113,0.966589
A4,117,0.898979
A4,121,0.633039
A4,123,0.999555
A4,200,0.723662
A4,210,0.759712
A4,212,0.99884
A4,213,0.570438
A4,214,0.990832
A4,219,0.643713
A4,221,0.999328
A4,222,0.693495
A4,228,0.660448
A4,231,1.0
A4,232,0.991548
A4,233,0.824061
A4,234,0.711822
A5,100,0.962008
A5,103,0.49962
A5,105,0.690076
A5,111,0.623921
A5,113,1.0
A5,117,0.999514
A5,121,0.543904
A5,123,0.999555
A5,200,0.726554
A5,210,0.785986
A5,212,0.999063
A5,213,0.581081
A5,214,0.976545
A5,219,0.657898
A5,221,1.0
A5,222,0.706447
A5,228,0.662438
A5,231,1.0
A5,232,0.991109
A5,233,0.865539
A5,234,0.716401
