record,a4_minus_a1_median_within,sign,rank_from_top,share_of_positive_mass,cumulative_positive_share
113,0.1671,better,1,0.2809,0.2809
210,0.1125,better,2,0.1891,0.47
111,0.0832,better,3,0.1399,0.6099
233,0.073,better,4,0.1227,0.7326
105,0.0481,better,5,0.0809,0.8135
232,0.0428,better,6,0.0719,0.8855
214,0.0242,better,7,0.0406,0.9261
213,0.024,better,8,0.0403,0.9664
222,0.0157,better,9,0.0263,0.9927
221,0.0029,better,10,0.0049,0.9976
212,0.0007,better,11,0.0011,0.9987
103,0.0005,better,12,0.0008,0.9995
121,0.0002,better,13,0.0004,0.9999
228,0.0,better,14,0.0001,1.0
100,0.0,tied,15,0.0,1.0
123,0.0,tied,16,0.0,1.0
231,0.0,tied,17,0.0,1.0
117,-0.0005,worse,18,0.0,1.0
219,-0.0107,worse,19,0.0,1.0
200,-0.0216,worse,20,0.0,1.0
234,-0.0334,worse,21,0.0,1.0
